Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
17.530778,121.625,1989-02-27,121.875,120.625,121.25,IBM,7054400
17.512761,121.50,1989-02-28,122.25,121.375,121.75,IBM,4885600
17.278537,119.875,1989-03-01,122.375,119.125,122.125,IBM,5998400
17.368623,120.50,1989-03-02,120.875,119.75,119.75,IBM,5352000
17.422675,120.875,1989-03-03,121.00,120.125,120.625,IBM,3786400
17.512761,121.50,1989-03-06,121.625,120.625,121.375,IBM,5311200
17.278537,119.875,1989-03-07,121.125,119.375,121.00,IBM,7507200
17.242502,119.625,1989-03-08,120.625,119.50,119.625,IBM,5387200
17.098364,118.625,1989-03-09,119.875,118.125,119.625,IBM,5651600
17.044312,118.25,1989-03-10,118.50,117.125,118.25,IBM,7144400
17.134399,118.875,1989-03-13,119.625,118.125,118.125,IBM,5710400
16.990261,117.875,1989-03-14,119.375,117.625,119.25,IBM,4679600
16.86414,117.00,1989-03-15,118.75,117.00,117.75,IBM,6606000
17.026295,118.125,1989-03-16,118.75,117.25,117.375,IBM,9067600
16.215519,112.50,1989-03-17,116.50,111.375,115.625,IBM,18744400
15.783105,109.50,1989-03-20,111.375,109.00,111.125,IBM,15914400
15.873192,110.125,1989-03-21,110.50,109.75,110.375,IBM,13825200
15.747071,109.25,1989-03-22,109.375,107.625,108.25,IBM,10378800
15.801123,109.625,1989-03-23,110.25,108.50,109.75,IBM,8062000
15.873192,110.125,1989-03-27,110.375,109.00,109.50,IBM,5455200
15.855174,110.00,1989-03-28,110.875,109.375,110.625,IBM,4989600
15.801123,109.625,1989-03-29,110.375,109.125,109.75,IBM,4898400
15.675002,108.75,1989-03-30,109.75,108.25,109.625,IBM,6609600
15.729054,109.125,1989-03-31,109.50,109.00,109.00,IBM,4478800
15.638967,108.50,1989-04-03,109.50,108.50,109.25,IBM,5124000
15.440778,107.125,1989-04-04,108.50,106.25,108.00,IBM,9346800
15.530864,107.75,1989-04-05,108.00,107.125,107.125,IBM,5808000
15.566898,108.00,1989-04-06,108.25,107.125,107.375,IBM,4009600
15.81914,109.75,1989-04-07,110.25,107.75,107.75,IBM,6426800
15.855174,110.00,1989-04-10,110.25,109.50,109.50,IBM,3378400
16.01733,111.125,1989-04-11,111.375,110.00,110.25,IBM,4747600
16.01733,111.125,1989-04-12,112.25,110.875,111.875,IBM,4037600
15.747071,109.25,1989-04-13,111.00,108.875,110.75,IBM,3826800
15.981295,110.875,1989-04-14,112.00,110.50,110.50,IBM,7160800
16.053364,111.375,1989-04-17,111.75,110.75,110.75,IBM,3648800
16.287588,113.00,1989-04-18,113.125,112.125,112.25,IBM,6229600
16.197502,112.375,1989-04-19,113.125,112.125,112.50,IBM,5820400
16.197502,112.375,1989-04-20,112.875,111.00,112.625,IBM,4931600
16.359657,113.50,1989-04-21,113.50,112.125,112.50,IBM,6157600
16.359657,113.50,1989-04-24,114.375,113.125,113.50,IBM,5777200
16.503795,114.50,1989-04-25,115.125,113.375,114.00,IBM,8021200
16.503795,114.50,1989-04-26,114.75,113.50,114.50,IBM,5206400
16.521812,114.625,1989-04-27,115.75,114.25,114.625,IBM,7433600
16.449743,114.125,1989-04-28,114.625,114.00,114.625,IBM,4438000
16.34164,113.375,1989-05-01,113.625,112.875,113.00,IBM,4713200
16.197502,112.375,1989-05-02,113.75,112.375,113.625,IBM,3744000
16.071381,111.50,1989-05-03,112.50,111.50,112.25,IBM,5728800
